


Bayesian estimates
==================

Locus Parameter        2.5%      25.0%    mode     75.0%   97.5%     median   mean
   11  M_3->4             0.00     0.00  1525.88 28076.17 64086.91 28381.35   759.17
   11  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   624.54
   11  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   633.57
   11  M_6->7             0.00     0.00  1525.88 28076.17 64086.91 28381.35   777.75
   11  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   745.93
   11  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   727.46
   11  D_6->1          0.00000  0.00027  0.00110  0.00187  0.00373  0.00163  0.00118
   11  D_2->3          0.00000  0.00020  0.00103  0.00173  0.00367  0.00157  0.00109
   11  D_3->4          0.00000  0.00040  0.00123  0.00207  0.00400  0.00170  0.00134
   11  D_4->5          0.00000  0.00047  0.00137  0.00220  0.00393  0.00177  0.00142
   11  D_5->6          0.00000  0.00053  0.00150  0.00233  0.00433  0.00183  0.00158
   11  D_6->7          0.00000  0.00040  0.00130  0.00213  0.00407  0.00177  0.00140
   11  D_7->8          0.00000  0.00033  0.00123  0.00200  0.00393  0.00170  0.00130
   11  D_8->9          0.00000  0.00033  0.00117  0.00193  0.00380  0.00163  0.00123
   12  Theta_1         0.00062  0.00145  0.00199  0.00261  0.00425  0.00220  0.00232
   12  Theta_2         0.00013  0.00076  0.00115  0.00154  0.00240  0.00122  0.00126
   12  Theta_3         0.00019  0.00089  0.00136  0.00185  0.00321  0.00151  0.00161
   12  Theta_4         0.00068  0.00148  0.00201  0.00262  0.00414  0.00221  0.00232
   12  Theta_5         0.00098  0.00188  0.00244  0.00299  0.00445  0.00255  0.00264
   12  Theta_6         0.00064  0.00142  0.00190  0.00243  0.00370  0.00204  0.00211
   12  Theta_7         0.00064  0.00147  0.00198  0.00252  0.00386  0.00211  0.00219
   12  Theta_8         0.00062  0.00143  0.00194  0.00253  0.00402  0.00213  0.00223
   12  Theta_9         0.00114  0.00206  0.00262  0.00325  0.00482  0.00279  0.00288
   12  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   817.90
   12  M_3->4             0.00     0.00  1525.88 27465.82 64086.91 27771.00   737.38
   12  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   682.75
   12  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   689.93
   12  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   744.49
   12  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   739.63
   12  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   726.80
   12  D_6->1          0.00000  0.00020  0.00097  0.00167  0.00327  0.00150  0.00100
   12  D_2->3          0.00000  0.00020  0.00097  0.00167  0.00327  0.00150  0.00099
   12  D_3->4          0.00000  0.00020  0.00097  0.00167  0.00327  0.00150  0.00101
   12  D_4->5          0.00000  0.00033  0.00110  0.00187  0.00347  0.00157  0.00115
   12  D_5->6          0.00000  0.00027  0.00110  0.00180  0.00340  0.00157  0.00112
   12  D_6->7          0.00000  0.00027  0.00110  0.00180  0.00340  0.00157  0.00110
   12  D_7->8          0.00000  0.00027  0.00110  0.00187  0.00353  0.00157  0.00114
   12  D_8->9          0.00000  0.00027  0.00110  0.00187  0.00353  0.00157  0.00116
   13  Theta_1         0.00058  0.00140  0.00194  0.00258  0.00422  0.00216  0.00228
   13  Theta_2         0.00013  0.00078  0.00119  0.00161  0.00261  0.00128  0.00134
   13  Theta_3         0.00010  0.00084  0.00131  0.00186  0.00332  0.00150  0.00162
   13  Theta_4         0.00059  0.00139  0.00191  0.00255  0.00419  0.00215  0.00227
   13  Theta_5         0.00108  0.00201  0.00260  0.00330  0.00510  0.00282  0.00295
   13  Theta_6         0.00064  0.00148  0.00199  0.00257  0.00400  0.00216  0.00225
   13  Theta_7         0.00071  0.00157  0.00211  0.00275  0.00438  0.00232  0.00244
   13  Theta_8         0.00069  0.00153  0.00207  0.00271  0.00433  0.00228  0.00239
   13  Theta_9         0.00139  0.00245  0.00312  0.00386  0.00583  0.00332  0.00344
   13  M_2->3             0.00     0.00  1525.88 28076.17 64697.27 28381.35   844.81
   13  M_3->4             0.00     0.00  1525.88 28076.17 64086.91 28381.35   784.63
   13  M_4->5             0.00     0.00  1525.88 27465.82 64086.91 27771.00   663.69
   13  M_5->6             0.00     0.00  1525.88 27465.82 64086.91 27771.00   677.84
   13  M_6->7             0.00     0.00  1525.88 27465.82 64086.91 27771.00   748.05
   13  M_7->8             0.00     0.00  1525.88 27465.82 64086.91 27771.00   730.70
   13  M_8->9             0.00     0.00  1525.88 27465.82 64086.91 27771.00   750.57
   13  D_6->1          0.00000  0.00020  0.00103  0.00173  0.00340  0.00150  0.00105
   13  D_2->3          0.00000  0.00020  0.00103  0.00173  0.00340  0.00150  0.00104
   13  D_3->4          0.00000  0.00027  0.00110  0.00180  0.00353  0.00157  0.00113
   13  D_4->5          0.00000  0.00033  0.00117  0.00193  0.00367  0.00163  0.00123
   13  D_5->6          0.00000  0.00033  0.00117  0.00193  0.00373  0.00163  0.00123
   13  D_6->7          0.00000  0.00027  0.00110  0.00180  0.00353  0.00157  0.00113
   13  D_7->8          0.00000  0.00027  0.00110  0.00187  0.00360  0.00157  0.00116
   13  D_8->9          0.00000  0.00027  0.00110  0.00180  0.00353  0.00157  0.00112
   14  Theta_1         0.00050  0.00130  0.00179  0.00236  0.00380  0.00196  0.00206
   14  Theta_2         0.00004  0.00063  0.00101  0.00137  0.00214  0.00107  0.00110
   14  Theta_3         0.00011  0.00080  0.00125  0.00173  0.00299  0.00139  0.00148
   14  Theta_4         0.00043  0.00119  0.00164  0.00214  0.00345  0.00178  0.00187
   14  Theta_5         0.00091  0.00173  0.00224  0.00280  0.00417  0.00238  0.00247
   14  Theta_6         0.00052  0.00125  0.00169  0.00217  0.00333  0.00180  0.00187
   14  Theta_7         0.00051  0.00125  0.00172  0.00225  0.00358  0.00188  0.00196
   14  Theta_8         0.00054  0.00132  0.00180  0.00230  0.00357  0.00192  0.00200
