,x
Theta_2-L21,309.261553957852
Theta_2-L2,46.9565856059865
Theta_2-L104,490.673921055001
Theta_2-L22,1781.43825790395
Theta_2-L89,149.493078640086
Theta_2-L81,69.1142699713017
Theta_2-L82,86.9460525209009
Theta_2-L15,426.06919892169
Theta_2-L94,278.131586438325
Theta_2-L103,594.373352677264
Theta_2-L74,500.921294853559
Theta_2-L77,199.677841976095
Theta_2-L18,591.084742247293
Theta_2-L71,52.4387474255405
Theta_2-L26,477.495974649136
Theta_2-L7,96.8706752076429
Theta_2-L54,880.241657868266
Theta_2-L23,194.00365380029
Theta_2-L20,1333.36621818386
Theta_2-L33,150.144056694237
Theta_2-L50,205.73131440564
Theta_2-L16,508.215192884615
Theta_2-L47,530.477522571804
Theta_2-L45,661.964731872236
Theta_2-L37,302.925390721391
Theta_2-L43,87.1473189111572
Theta_2-L62,20.6315784740262
Theta_2-L87,704.987455077881
Theta_2-L102,655.941005810007
Theta_2-L42,47.1627794145596
Theta_2-L41,1160.08646864908
Theta_2-L83,172.409682579618
Theta_2-L96,1348.16146621139
Theta_2-L48,1103.68635981983
Theta_2-L72,248.413939172354
Theta_2-L52,1094.57233435004
Theta_2-L67,47.7650846246984
Theta_2-L35,177.986909590487
Theta_2-L51,167.235016251404
Theta_2-L10,756.448280381615
Theta_2-L85,649.515465537195
Theta_2-L30,880.944776965732
Theta_2-L9,1962.8516312026
Theta_2-L55,1436.81314955362
Theta_2-L44,108.739839379321
Theta_2-L86,116.213568755209
Theta_2-L36,45.5159493038979
Theta_2-L53,245.610966171665
Theta_2-L19,686.548173461448
Theta_2-L60,605.703381583416
Theta_2-L14,131.516150003031
Theta_2-L98,123.581549316453
Theta_2-L32,121.225107480292
Theta_2-L101,2617.00554045362
Theta_2-L78,211.74351858117
Theta_2-L97,1389.16360093795
Theta_2-L59,847.867584713227
Theta_2-L38,1573.29240790354
Theta_2-L76,1528.78507941639
Theta_2-L25,132.44408625519
Theta_2-L100,408.744707239015
Theta_2-L40,1156.95067833443
Theta_2-L13,279.271037544515
Theta_2-L1,1370.46935393463
Theta_2-L73,1723.86199520751
Theta_2-L27,705.064680472311
Theta_2-L99,1018.94236740402
Theta_2-L68,387.685842584097
Theta_2-L28,906.118799814725
Theta_2-L17,651.714823471574
Theta_2-L90,19.7984886643201
Theta_2-L107,33.8830842255335
Theta_2-L64,724.793251960483
Theta_2-L11,1964.61524677045
Theta_2-L6,178.094704945708
Theta_2-L29,1230.55934524599
Theta_2-L24,681.463442374889
Theta_2-L79,1059.71011881946
Theta_2-L56,182.239422266039
Theta_2-L91,747.783276576737
Theta_2-L65,4.08679364300602
Theta_2-L75,91.4408830074217
Theta_2-L3,634.884593204356
Theta_2-L109,906.925235009009
Theta_2-L95,2542.1700212617
Theta_2-L63,271.056470497679
Theta_2-L66,627.295329928576
Theta_2-L69,1229.97335851236
Theta_2-L106,714.389313218228
Theta_2-L84,58.6509380170336
Theta_2-L5,377.434148977831
Theta_2-L80,115.322457652593
Theta_2-L46,59.10533819086
Theta_2-L31,37.9468223673458
Theta_3-L39,79.1233001279993
Theta_3-L61,18.1884027570996
Theta_3-L49,1273.2013435636
Theta_3-L12,83.8904898779452
Theta_3-L88,250.506470248187
Theta_3-L70,1631.40957718109
Theta_3-L4,320.106027706005
Theta_3-L92,114.479000032857
Theta_3-L57,1891.30640301015
Theta_3-L8,1550.31084517622
Theta_3-L105,41.9667646084052
Theta_3-L34,19.6074666816091
Theta_3-L93,322.398875666726
Theta_3-L58,53.6125261864809
Theta_3-L108,62.224190411336
Theta_3-L21,69.7298942069125
Theta_3-L2,236.45062592371
Theta_3-L104,62.0050071189321
Theta_3-L22,163.617130440827
Theta_3-L89,62.0867676850564
Theta_3-L81,46.8800597213977
Theta_3-L82,80.2809918917626
Theta_3-L15,40.4334761120352
Theta_3-L94,146.09094786157
Theta_3-L103,88.1695335758388
Theta_3-L74,200.67604569074
Theta_3-L77,48.3460244589993
Theta_3-L18,881.717185931891
Theta_3-L71,31.4166622058295
Theta_3-L26,224.034303836937
Theta_3-L7,120.470414297665
Theta_3-L54,1294.95200510412
Theta_3-L23,30.3292873594265
Theta_3-L20,1488.17632899592
Theta_3-L33,38.2004531684836
Theta_3-L50,218.510611369313
Theta_3-L16,427.337548652096
Theta_3-L47,114.193980195548
Theta_3-L45,33.4689655292047
Theta_3-L37,141.92372128816
Theta_3-L43,58.7582467320116
Theta_3-L62,89.7211011215487
Theta_3-L87,177.17851443983
Theta_3-L102,1703.5853382438
Theta_3-L42,23.5008685948918
Theta_3-L41,126.661083376982
Theta_3-L83,18.604663609567
Theta_3-L96,1051.72498603661
Theta_3-L48,513.416298753882
Theta_3-L72,38.0533471582135
Theta_3-L52,48.5366474644643
Theta_3-L67,17.0578375033274
Theta_3-L35,45.9898524316609
Theta_3-L51,67.8788912065492
Theta_3-L10,742.14593387982
Theta_3-L85,297.878649589959
Theta_3-L30,58.4995494534187
Theta_3-L9,573.500962895511
Theta_3-L55,1002.75421403455
