


Bayesian estimates
==================

Locus Parameter        2.5%      25.0%    mode     75.0%   97.5%     median   mean
  104  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   101.23
  105  Theta_1         0.00065  0.00185  0.00268  0.00350  0.00460  0.00273  0.00269
  105  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   388.35
  106  Theta_1         0.00055  0.00170  0.00253  0.00335  0.00445  0.00258  0.00253
  106  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   292.40
  107  Theta_1         0.00065  0.00180  0.00263  0.00345  0.00460  0.00268  0.00264
  107  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   385.47
  108  Theta_1         0.00075  0.00195  0.00278  0.00360  0.00475  0.00283  0.00279
  108  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   381.20
  109  Theta_1         0.00075  0.00200  0.00283  0.00365  0.00480  0.00288  0.00283
  109  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00   369.78
  All  Theta_1         0.00110  0.00210  0.00293  0.00370  0.00475  0.00298  0.00293
  All  M_2->1             0.00     0.00 12500.00 80000.00 185000.00 82500.00  2500.00
-----------------------------------------------------------------------------------



Log-Probability of the data given the model (marginal likelihood = log(P(D|thisModel))
--------------------------------------------------------------------
[Use this value for Bayes factor calculations:
BF = Exp[log(P(D|thisModel) - log(P(D|otherModel)]
shows the support for thisModel]



Locus          TI(1a)       BTI(1b)         HS(2)
-------------------------------------------------
      1          0.00          0.00          0.00
      2          0.00          0.00          0.00
      3          0.00          0.00          0.00
      4          0.00          0.00          0.00
      5          0.00          0.00          0.00
      6          0.00          0.00          0.00
      7          0.00          0.00          0.00
      8          0.00          0.00          0.00
      9          0.00          0.00          0.00
     10          0.00          0.00          0.00
     11          0.00          0.00          0.00
     12          0.00          0.00          0.00
     13          0.00          0.00          0.00
     14          0.00          0.00          0.00
     15          0.00          0.00          0.00
     16          0.00          0.00          0.00
     17          0.00          0.00          0.00
     18          0.00          0.00          0.00
     19          0.00          0.00          0.00
     20          0.00          0.00          0.00
     21          0.00          0.00          0.00
     22          0.00          0.00          0.00
     23          0.00          0.00          0.00
     24          0.00          0.00          0.00
     25          0.00          0.00          0.00
     26          0.00          0.00          0.00
     27          0.00          0.00          0.00
     28          0.00          0.00          0.00
     29          0.00          0.00          0.00
     30          0.00          0.00          0.00
     31          0.00          0.00          0.00
     32          0.00          0.00          0.00
     33          0.00          0.00          0.00
     34          0.00          0.00          0.00
     35          0.00          0.00          0.00
     36          0.00          0.00          0.00
     37          0.00          0.00          0.00
     38          0.00          0.00          0.00
     39          0.00          0.00          0.00
     40          0.00          0.00          0.00
     41          0.00          0.00          0.00
     42          0.00          0.00          0.00
     43          0.00          0.00          0.00
     44          0.00          0.00          0.00
     45          0.00          0.00          0.00
     46          0.00          0.00          0.00
     47          0.00          0.00          0.00
     48          0.00          0.00          0.00
     49          0.00          0.00          0.00
     50          0.00          0.00          0.00
     51          0.00          0.00          0.00
     52          0.00          0.00          0.00
     53          0.00          0.00          0.00
     54          0.00          0.00          0.00
     55          0.00          0.00          0.00
     56          0.00          0.00          0.00
     57          0.00          0.00          0.00
     58          0.00          0.00          0.00
     59          0.00          0.00          0.00
     60          0.00          0.00          0.00
     61          0.00          0.00          0.00
     62          0.00          0.00          0.00
     63          0.00          0.00          0.00
     64          0.00          0.00          0.00
     65          0.00          0.00          0.00
     66          0.00          0.00          0.00
     67          0.00          0.00          0.00
     68          0.00          0.00          0.00
     69          0.00          0.00          0.00
     70          0.00          0.00          0.00
     71          0.00          0.00          0.00
     72          0.00          0.00          0.00
     73          0.00          0.00          0.00
     74          0.00          0.00          0.00
     75          0.00          0.00          0.00
     76          0.00          0.00          0.00
     77          0.00          0.00          0.00
     78          0.00          0.00          0.00
     79          0.00          0.00          0.00
     80          0.00          0.00          0.00
     81          0.00          0.00          0.00
     82          0.00          0.00          0.00
     83          0.00          0.00          0.00
     84          0.00          0.00          0.00
     85          0.00          0.00          0.00
     86          0.00          0.00          0.00
     87          0.00          0.00          0.00
     88          0.00          0.00          0.00
     89          0.00          0.00          0.00
     90          0.00          0.00          0.00
     91          0.00          0.00          0.00
     92          0.00          0.00          0.00
     93          0.00          0.00          0.00
     94          0.00          0.00          0.00
     95          0.00          0.00          0.00
     96          0.00          0.00          0.00
     97          0.00          0.00          0.00
     98          0.00          0.00          0.00
     99          0.00          0.00          0.00
    100          0.00          0.00          0.00
    101          0.00          0.00          0.00
    102          0.00          0.00          0.00
    103          0.00          0.00          0.00
    104          0.00          0.00          0.00
    105          0.00          0.00          0.00
    106          0.00          0.00          0.00
    107          0.00          0.00          0.00
    108          0.00          0.00          0.00
    109          0.00          0.00          0.00
---------------------------------------------------------------
  All          343.41        343.41           inf
[Scaling factor = 343.410591]


(1a) TI: Thermodynamic integration: log(Prob(D|Model)): Good approximation with many temperatures
(1b) BTI: Bezier-approximated Thermodynamic integration: when using few temperatures USE THIS!
(2)  HS: Harmonic mean approximation: Overestimates the marginal likelihood, poor variance



MCMC run characteristics
========================




Acceptance ratios for all parameters and the genealogies
---------------------------------------------------------------------

Parameter           Accepted changes               Ratio



Autocorrelation for all parameters and the genealogies
-------------------------------------------------------------------

Parameter           Autocorrelation           Effective Sample size
Theta_1                   0.000                     0.000
M_2->1                    0.000                     0.000
Genealogies               0.000                     0.000
(*) averaged over loci.



Temperatures during the run using the standard heating scheme
===========================================================================

Chain Temperature               log(marginal likelihood)  log(mL_steppingstone)
    1    1.00000             0.00000        -inf
